TITLE,DATE
"이종현 소속사 공식입장에 씨엔블루 팬덤 ""활동 중단? 탈퇴 안하냐?""",2019-03-15 17:53
"
			FT아일랜드 팬들 ""최종훈 활동 중단 아닌, 퇴출하라"" 성명서 발표
		",2019.03.14. 오후 1:34
"
			정준영·최종훈·용준형, '카톡' 판도라의 상자 열렸다…가요계 줄 탈퇴·은퇴
		",2019.03.14. 오후 6:12
"
			씨엔블루 이종현, 정준영 몰카 공유+여성 비하 발언 의혹→SNS 게시물 전부 삭제
		",2019.03.15. 오전 11:23
"가지고 놀기 좋은 X로…이종현, 정준영 '몰카' 공유+여성 비하 의혹",2019-03-15 9:04
"경찰 출석 최종훈, 생일 축하 메시지 보낸 경찰 질문에 ""모르겠다""",2019-03-16 11:07
"
			엔플라잉 '옥탑방', 보고있나? 이런게 역주행이지
		",2019.02.19. 오전 11:55
"
			TV 읽기 ｜ 제2의 방탄소년단·트와이스 나올까?…'동생 그룹' 전성시대
		",2019.01.26. 오전 8:43
"
			체리블렛 지원X유주, '러블리vs에너제틱' 콘셉트 포토 공개
		",2019.01.09. 오후 1:33
"
			엔플라잉X하상욱 '봄이 부시시', 중간고사 애환 다룬 개사 '공감+재미'
		",2019.05.09. 오전 8:40
"[전문] 엔플라잉 출신 권광진, 팬 성추행 유포자 고소 ""사과하면 선처할 것""",2019-04-30 8:42
"
			엔플라잉, '봄이 부시게' MV 티저 공개…곽동연 지원사격 '봄 감성 저격'
		",2019.04.19. 오후 1:25
"
			AOA 혜정, ‘퍼퓸’ 모델 손미유 역 출연 확정… 신성록과 호흡
		",2019.04.15. 오후 2:55
"최종훈, 물뽕 성폭행 가해자vs협박 피해자…진실은?",2019-04-12 11:04
"
			AOA 혜정 6살 연하 남친 ♥류의현 누구? #만스무살 #웹드인연
		",2019.04.08. 오후 3:28
"
			AOA 혜정 측 ""류의현과 열애? 본인 확인 중""
		",2019.04.08. 오전 10:43
한류열풍에 취한 엔터권력의 민낯,2019-03-22 18:00
"
			정해인 ""이젠 괜찮아요""…감기몸살 응급실행 뒤늦게 알려져
		",2019.04.01. 오후 7:01
"
			이홍기, 최종훈 때문에 취소된 홍콩 공연 참석…""최근 많은 일 있었다""
		",2019.03.18. 오후 5:03
