"
			'옥문아' 윤두준, ""하이라이트 멤버 공동 CEO""...자유로운 경영 방식 밝혀
		",2020.06.22. 오후 9:58
"
			백아연 '썸 타긴 뭘 타' 발매…1년6개월 만 '썸' 완결편 도전
		",2020.06.16. 오후 11:46
"
			유빈, 네 번째 싱글 '넵넵' 활동 성공적 마무리…다채로운 매력 발산
		",2020.06.04. 오후 1:16
"
			트와이스 'MORE &amp; MORE' 뮤비 표절 논란, 얼마나 똑같길래
		",2020.06.03. 오후 1:51
"
			백아연, 새 둥지서 1년 6개월만 컴백 ""소녀 탈피"" [공식]
		",2020.06.01. 오전 11:37
"
			[인터뷰] 나띠 ""두 번의 데뷔 좌절, 그럼에도 포기하지 않은 이유는…""
		",2020.06.10. 오전 9:48
"
			트와이스 50만장·백현 70만장…K팝 앨범 판매 30%↑
		",2020.06.03. 오후 5:45
"
			트와이스가 왜 거기서 나와? '6시내고향'부터 일기예보까지
		",2020.06.02. 오후 4:31
"
			'아이돌 라디오' 엔터테인먼트 대표 유빈 ""JYP 이해하게 됐다”
		",2020.05.30. 오후 2:59
"
			[인터뷰] 유빈 ""JYP 박진영, 회사 설립 용기있다고 응원""
		",2020.05.21. 오전 8:29
"
			데이식스 활동중단, JYP ""일부 멤버 불안 증세 호소"" [전문]
		",2020.05.11. 오전 10:28
"
			JYP 기부, 코로나19 확산 방지 위해 5억원 쾌척
		",2020.02.29. 오후 12:07
"
			JYP 법적대응 시사, 2PM·스트레이키즈 향한 위협에 ""선처 없다"" [전문]
		",2020.01.15. 오후 2:50
"
			JYP ""트와이스 항공정보 유출·판매에 법적 조치 검토"" [공식입장]
		",2020.01.08. 오후 2:48
"신한카드, 'JYP 체크카드' 출시…콘서트 할인받고 난치병 환아 기부도",2020-01-06 14:46
"
			데이식스 법적대응 ""사생활 침해 심각…정도 넘어섰다""[공식]
		",2020.05.28. 오후 11:58
"
			JYP ""트와이스 컴백 일정 조율 중, 곧 신곡 MV 촬영"" [공식]
		",2020.04.20. 오후 2:01
