"
			한승연, YGX와 전속계약 [공식]
		",2020.04.14. 오후 1:51
"
			블랙핑크, 레이디가가 앨범에 피처링…팝 시장도 '술렁'
		",2020.04.23. 오전 10:13
한한령 해제 기대감에 엔터株 강세,2020-04-26 16:22
"
			'역시 강한' 블랙핑크, '킬 디스 러브'까지 8억뷰 MV 3편 보유…K팝 최초
		",2020.04.20. 오전 10:56
"
			위너 D-4, 정규 3집 스페셜 트랙 무빙 포스터 공개
		",2020.04.05. 오후 8:22
"
			위너, 'Remember' 활동 없이 앨범 초동 판매량 10만장 돌파
		",2020.04.17. 오후 6:36
"
			'카라 출신' 한승연, YGX와 전속계약 체결…이수혁‧주우재와 한솥밥
		",2020.04.14. 오전 10:16
"
			트레저, 멤버들 위해 손 소독제 '셀프 제조'…사회적 거리두기 동참 독려
		",2020.04.07. 오후 6:18
"[마켓인사이트]빅히트엔터테인먼트, IPO 주관사단 확정",2020-02-24 18:09
"
			송민호 자작곡 '뜸' 관심 폭주…위너 정규 3집, 26일 선공개
		",2020.03.20. 오후 2:46
"
			美 코첼라 연기됐는데…4인조 빅뱅 복귀는 어디서
		",2020.03.11. 오후 4:25
"
			이하이, AOMG 손 잡을까…""전속계약 논의했으나 확정된 바 없어"" [공식]
		",2020.03.03. 오후 3:53
"AKMU, 춘천·전주·청주 콘서트 취소…""코로나19 확산 방지·관객 안전 최우선""",2020-02-27 12:12
"
			6인조 아이콘, 비아이 작사·작곡 '뛰어들게'로 인기…24개국 아이튠즈 1위
		",2020.02.07. 오후 2:38
"
			'컴백 D-5' 아이콘, 동혁 첫 프로듀싱-바비 3곡 참여…트랙리스트 공개
		",2020.02.01. 오전 9:07
"
			젝스키스 '젝포유' 프롤로그 공개, 떡국 먹방+새해 소원
		",2020.01.24. 오후 4:24
"
			트레저 숙소 최초공개, 운동·먹방·게임 그리고 연습 '유쾌한 휴일'
		",2020.01.24. 오후 4:12
"
			아이콘, 2월 6일 컴백 확정…미니 3집 'i DECIDE' 영상 티저 깜짝 공개
		",2020.01.21. 오후 1:13
"
			4인조 빅뱅, 美 '코첼라' 컴백에 살아난 양현석 SNS…10개월 만 홍보 '열일'
		",2020.01.03. 오후 2:39
"'한지붕 두가족' 네이버뮤직-바이브, 통합 시너지 없었다",2020-01-06 14:08
"승리, 오늘 또 영장실질심사…구속 갈림길 선 최초의 '성매매 알선 혐의' 아이돌",2020-01-13 11:26
'K팝 성지' 꿈꾸며…아레나 속속 들어선다,2020-01-03 17:40
"승리 빠진 4인 빅뱅, 첫 무대는 美 코첼라 [공식]",2020-01-03 13:32
"승리, 이번엔 구속되나…정준영·최종훈 구속시킨 판사가 영장 심사",2020-01-10 10:22
'양현석 증인' 정마담…라임사태 핵심 키 쥔 인물로 떠올라,2020-03-30 17:29
"
			위너, 오늘(30일) 컴백 라이브 진행…입대 앞둔 김진우 무슨 말 할까
		",2020.03.30. 오전 9:21
"
			블랙핑크 '뚜두뚜두', 싸이 이후 K팝가수 최초 유튜브 MV 조회수 11억뷰 돌파
		",2020.03.24. 오후 11:55
"
			위너 김진우X송민호, 커플 손가락 댄스를?…선공개 타이틀 '뜸' 기대감 고조
		",2020.03.23. 오후 3:26
"
			[종합] 지드래곤, SNS에 올린 사진 한 장에 '시끌'…""마약 연상""vs""과한 추측""
		",2020.03.17. 오후 5:44
"
			위너 강승윤X김진우, 흰 티셔츠·롤업 청바지+바가지 머리…레트로 감성 '물씬'
		",2020.03.16. 오전 11:52
연예마켓+ㅣ방탄소년단도 공연 취소…코로나19 여파 'K팝'도 휘청,2020-03-07 8:39
"
			위너, 26일 신곡 발표…'크로스' 이후 5개월 만 컴백 [공식]
		",2020.03.12. 오후 1:30
"
			승리, 은퇴 선언 후 1년 만에 입대…버닝썬 언급할까
		",2020.03.09. 오전 10:42
"NEW, K콘텐츠 해외방송으로 반등 노려",2020-02-24 17:18
"20세기엔 비틀스, 21세기엔 BTS!…방탄소년단 美 '빌보드 200' 4연속 1위",2020-03-02 9:06
"'버닝썬 사태' 승리, 9일 현역 입대…경례하며 파티하더니 결국 군복 입는다",2020-03-05 13:26
비아이 마약 검사 최종 '음성'…자숙 중 마스크 기부에도 여론 '싸늘',2020-02-27 17:22
"
			AKMU 수현, 광고 모델 발탁→CM송도 책임 '다재다능 매력'
		",2020.02.25. 오전 11:30
"
			블랙핑크, '붐바야' MV 8억 뷰 넘겼다…K팝 그룹 최초 8억 뷰 2편 보유
		",2020.02.24. 오전 10:37
"'성매매 알선' 승리, 결국 내달 군대로?…병무청 ""개인 병역사항 확인 불가""",2020-02-21 13:06
"연예 마켓+ㅣ 방탄소년단 잭팟, 올해 더 터진다",2020-02-09 8:43
"봉준호 아내 정선영 작가까지 화제…""많은 영감 줘 감사하다""",2020-02-11 8:19
"
			남태현 ""저 너무 미워하지 마세요""
		",2020.02.12. 오후 5:41
"산다라박, '또!오해영'으로 첫 뮤지컬 무대…""첫사랑 시작하는 기분""",2020-02-06 10:24
16번째 신종 코로나 확진자 나온 광주서 '미스트롯' 콘서트 강행,2020-02-05 9:41
"[종합] '원정도박 기소' 승리, 결국 군대가 도피처 되나…병무청 입영 통지",2020-02-04 17:50
신종 코로나 여파…방송가 행사 줄취소,2020-02-04 9:23
"
			'컴백 D-2' 아이콘, 새 앨범 5곡 맛보기 음원 전격 공개
		",2020.02.04. 오전 10:17
[이슈+] 연예인 유튜브가 '때깔'부터 다른 이유,2020-01-26 8:37
"승리가 승리했다, 결국 불구속 기소",2020-01-30 18:23
"
			젝스키스, 첫 미니앨범 타이틀곡 'ALL FOR YOU' MV 메이킹 영상 공개
		",2020.01.29. 오전 10:11
"
			강성훈, '우한 폐렴' 확산 여파로 팬미팅 연기 [전문]
		",2020.01.28. 오후 4:38
"
			젝키vs강성훈, 맞대결 성사되나
		",2020.01.28. 오후 5:05
"
			젝스키스, 오늘(28일) 컴백…'ALL FOR YOU' 기대 포인트 3
		",2020.01.28. 오전 9:40
