Date,Rank,Title,Artist,Score,entertain
2018-11-25,46,FAKE LOVE,방탄소년단,6,하이브
2018-11-25,54,봄날,방탄소년단,5,하이브
2018-11-25,58,I'm Fine,방탄소년단,5,하이브
2018-11-25,77,DNA,방탄소년단,3,하이브
2018-11-25,81,Euphoria,방탄소년단,2,하이브
2018-11-25,90,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,2,하이브
2018-11-25,92,Answer : Love Myself,방탄소년단,1,하이브
2018-11-26,28,IDOL,방탄소년단,8,하이브
2018-11-26,46,FAKE LOVE,방탄소년단,6,하이브
2018-11-26,54,봄날,방탄소년단,5,하이브
2018-11-26,60,I'm Fine,방탄소년단,5,하이브
2018-11-26,72,DNA,방탄소년단,3,하이브
2018-11-26,81,Euphoria,방탄소년단,2,하이브
2018-11-26,88,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,2,하이브
2018-11-26,93,Answer : Love Myself,방탄소년단,1,하이브
2018-11-27,31,IDOL,방탄소년단,7,하이브
2018-11-27,48,FAKE LOVE,방탄소년단,6,하이브
2018-11-27,59,봄날,방탄소년단,5,하이브
2018-11-27,60,I'm Fine,방탄소년단,5,하이브
2018-11-27,71,DNA,방탄소년단,3,하이브
2018-11-27,81,Euphoria,방탄소년단,2,하이브
2018-11-27,86,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,2,하이브
2018-11-27,94,Answer : Love Myself,방탄소년단,1,하이브
2018-11-28,32,IDOL,방탄소년단,7,하이브
2018-11-28,50,FAKE LOVE,방탄소년단,6,하이브
2018-11-28,62,봄날,방탄소년단,4,하이브
2018-11-28,63,I'm Fine,방탄소년단,4,하이브
2018-11-28,76,DNA,방탄소년단,3,하이브
2018-11-28,85,Euphoria,방탄소년단,2,하이브
2018-11-28,87,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,2,하이브
2018-11-28,95,Answer : Love Myself,방탄소년단,1,하이브
2018-11-29,32,IDOL,방탄소년단,7,하이브
2018-11-29,49,FAKE LOVE,방탄소년단,6,하이브
2018-11-29,59,봄날,방탄소년단,5,하이브
2018-11-29,62,I'm Fine,방탄소년단,4,하이브
2018-11-29,74,DNA,방탄소년단,3,하이브
2018-11-29,82,Euphoria,방탄소년단,2,하이브
2018-11-29,88,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,2,하이브
2018-11-29,96,Answer : Love Myself,방탄소년단,1,하이브
2018-11-30,31,IDOL,방탄소년단,7,하이브
2018-11-30,49,FAKE LOVE,방탄소년단,6,하이브
2018-11-30,60,봄날,방탄소년단,5,하이브
2018-11-30,63,I'm Fine,방탄소년단,4,하이브
2018-11-30,73,DNA,방탄소년단,3,하이브
2018-11-30,81,Euphoria,방탄소년단,2,하이브
2018-11-30,86,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,2,하이브
2018-11-30,94,Answer : Love Myself,방탄소년단,1,하이브
2018-12-01,32,IDOL,방탄소년단,7,하이브
2018-12-01,46,FAKE LOVE,방탄소년단,6,하이브
2018-12-01,58,봄날,방탄소년단,5,하이브
2018-12-01,61,I'm Fine,방탄소년단,4,하이브
2018-12-01,74,DNA,방탄소년단,3,하이브
2018-12-01,84,Euphoria,방탄소년단,2,하이브
2018-12-01,86,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,2,하이브
