Date,Rank,Title,Artist
2022-06-03,75,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
2022-06-03,76,봄날,방탄소년단
2022-06-03,77,무지개,임영웅
2022-06-03,78,초대,멜로망스
2022-06-03,79,My Universe,"Coldplay, 방탄소년단"
2022-06-03,80,abcdefu,GAYLE
2022-06-03,81,With you,"지민, 하성운"
2022-06-03,82,아버지,임영웅
2022-06-03,83,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),베이식 (Basick)
2022-06-03,84,Dreams Come True,aespa
2022-06-03,85,"너, 너 (N번째 연애 X 휘인 (Whee In))",휘인 (Whee In)
2022-06-03,86,버퍼링 (Glitch Mode),NCT DREAM
2022-06-03,87,서랍,10CM
2022-06-03,88,손이 참 곱던 그대,임영웅
2022-06-03,89,낙하 (with 아이유),AKMU (악뮤)
2022-06-03,90,A bientot,임영웅
2022-06-03,91,어제처럼,폴킴
2022-06-03,92,감동이야 (feat. 성시경),싸이 (PSY)
2022-06-03,93,사랑해 진짜,임영웅
2022-06-03,94,나는 트로트가 싫어요,임창정
2022-06-03,95,인생찬가,임영웅
2022-06-03,96,연애편지,임영웅
2022-06-03,97,Real Love,오마이걸 (OH MY GIRL)
2022-06-03,98,DON QUIXOTE,세븐틴 (SEVENTEEN)
2022-06-03,99,Starlight,태일 (TAEIL)
2022-06-03,100,사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,잔나비
2022-06-04,1,That That (prod. & feat. SUGA of BTS),싸이 (PSY)
2022-06-04,2,TOMBOY,(여자)아이들
2022-06-04,3,LOVE DIVE,IVE (아이브)
2022-06-04,4,사랑인가 봐,멜로망스
2022-06-04,5,봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
2022-06-04,6,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
2022-06-04,7,나의 X에게,경서
2022-06-04,8,LOVE me,BE'O (비오)
2022-06-04,9,Feel My Rhythm,Red Velvet (레드벨벳)
2022-06-04,10,FEARLESS,LE SSERAFIM (르세라핌)
2022-06-04,11,취중고백,김민석 (멜로망스)
2022-06-04,12,사랑은 늘 도망가,임영웅
2022-06-04,13,GANADARA (Feat. 아이유),박재범
2022-06-04,14,신호등,이무진
2022-06-04,15,ZOOM,제시 (Jessi)
2022-06-04,16,INVU,태연 (TAEYEON)
2022-06-04,17,다정히 내 이름을 부르면,"전건호, 경서예지"
2022-06-04,18,ELEVEN,IVE (아이브)
2022-06-04,19,듣고 싶을까,MSG워너비(M.O.M)
2022-06-04,20,MY BAG,(여자)아이들
2022-06-04,21,우리들의 블루스,임영웅
2022-06-04,22,STAY,"Justin Bieber, The Kid LAROI"
2022-06-04,23,내가 아니라도,주호
2022-06-04,24,That's Hilarious,Charlie Puth
2022-06-04,25,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo
2022-06-04,26,너를 생각해,주시크 (Joosiq)
2022-06-04,27,Next Level,aespa
2022-06-04,28,Weekend,태연 (TAEYEON)
2022-06-04,29,늦은 밤 헤어지긴 너무 아쉬워,케이시 (Kassy)
2022-06-04,30,다시 만날 수 있을까,임영웅
2022-06-04,31,언제나 사랑해,케이시 (Kassy)
2022-06-04,32,SMILEY (Feat. BIBI),YENA (최예나)
2022-06-04,33,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오)
2022-06-04,34,아무래도 난,주시크 (Joosiq)
2022-06-04,35,드라마,아이유
2022-06-04,36,Dynamite,방탄소년단
2022-06-04,37,HOT,세븐틴 (SEVENTEEN)
2022-06-04,38,너의 모든 순간,성시경
2022-06-04,39,strawberry moon,아이유
2022-06-04,40,내 손을 잡아,아이유
2022-06-04,41,Butter,방탄소년단
2022-06-04,42,RUN2U,STAYC(스테이씨)
