Date,Rank,Title,Artist
2020-01-03,39,사랑에 연습이 있었다면 (Prod. 2soo),임재현
2020-01-03,40,Obsession,EXO
2020-01-03,41,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz)
2020-01-03,42,bad guy,Billie Eilish
2020-01-03,43,차가워진 이 바람엔 우리가 써있어 (Bad Love),HYNN (박혜원)
2020-01-03,44,워커홀릭,볼빨간사춘기
2020-01-03,45,너를 만나,폴킴
2020-01-03,46,Señorita,"Shawn Mendes, Camila Cabello"
2020-01-03,47,술이 문제야,"장혜진, 윤민수(바이브)"
2020-01-03,48,그대라는 시,태연 (TAEYEON)
2020-01-03,49,Santa Tell Me,Ariana Grande
2020-01-03,50,가을밤 떠난 너,케이시 (Kassy)
2020-01-03,51,Feel Special,TWICE (트와이스)
2020-01-03,52,잘 살고 있다,V.O.S
2020-01-03,53,숨겨진 세상 (Into the Unknown End Credit Version) (겨울왕국2),태연 (TAEYEON)
2020-01-03,54,허전해,폴킴
2020-01-03,55,Snowman,Sia
2020-01-03,56,꿈속에 너 (Feat. 전상근),에이치코드 (H:CODE)
2020-01-03,57,사계 (Four Seasons),태연 (TAEYEON)
2020-01-03,58,Paris in the Rain,Lauv
2020-01-03,59,헤어지자 (Prod. 정키),휘인 (Whee In)
2020-01-03,60,Flower,윤미래
2020-01-03,61,"Speechless (Full) (From ""Aladdin""/Soundtrack Version)",Naomi Scott
2020-01-03,62,중2병,"The Quiett, 팔로알토 (Paloalto), 염따, 딥플로우, 사이먼 도미닉"
2020-01-03,63,LION,(여자)아이들
2020-01-03,64,All I Want for Christmas Is You,Mariah Carey
2020-01-03,65,너에게 못했던 내 마지막 말은,다비치
2020-01-03,66,unlucky,아이유
2020-01-03,67,샤넬 (Feat. 박봄),MC몽
2020-01-03,68,마음이 말하는 행복 (Happiness) (Feat.이라온),마크툽 (MAKTUB)
2020-01-03,69,주저하는 연인들을 위해,잔나비
2020-01-03,70,봄날,방탄소년단
2020-01-03,71,Amanda (Feat. Simon Dominic) (Prod. By UNTITLEDS),염따
2020-01-03,72,영화 속에 나오는 주인공처럼,펀치 (Punch)
2020-01-03,73,나의 어깨에 기대어요,10CM
2020-01-03,74,헤어져줘서 고마워,벤
2020-01-03,75,날 보러 와요 (Come See Me),AOA
2020-01-03,76,벗,닐로(Nilo)
2020-01-03,77,노을,다비치
2020-01-03,78,우리 어떻게 할까요,첸 (CHEN)
2020-01-03,79,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유
2020-01-03,80,이별행동,이우
2020-01-03,81,우리 왜 헤어져야 해,신예영
2020-01-03,82,솔직하게 말해서 나,김나영
2020-01-03,83,IDOL,방탄소년단
2020-01-03,84,그 사람,아이유
2020-01-03,85,크리스마스니까,"박효신, 성시경, 이석훈, 서인국, VIXX (빅스)"
2020-01-03,86,그때가 좋았어,케이시 (Kassy)
2020-01-03,87,Popo (How deep is our love?),백예린 (Yerin Baek)
2020-01-03,88,텅 (Feat.김하온 (HAON)),빈첸
2020-01-03,89,소우주 (Mikrokosmos),방탄소년단
2020-01-03,90,Trouble,EXO
2020-01-03,91,그때의 우리,펀치 (Punch)
2020-01-03,92,0310,백예린 (Yerin Baek)
2020-01-03,93,나비효과 (Butterfly Effect),EXO
2020-01-03,94,춤 (Groove),EXO
2020-01-03,95,"FEVER (Feat. 수퍼비, BIBI)",박진영
2020-01-03,96,지킬 (Jekyll),EXO
2020-01-03,97,Ya Ya Ya,EXO
2020-01-03,98,떨어지는 낙엽까지도,헤이즈 (Heize)
2020-01-03,99,오늘도 (Day After Day),EXO
2020-01-03,100,노래방에서,장범준
2020-01-04,1,METEOR,창모 (CHANGMO)
2020-01-04,2,Psycho,Red Velvet (레드벨벳)
2020-01-04,3,"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)","The Quiett, 팔로알토 (Paloalto), 염따, 딥플로우, 사이먼 도미닉"
2020-01-04,4,Blueming,아이유
2020-01-04,5,늦은 밤 너의 집 앞 골목길에서,노을
2020-01-04,6,HIP,마마무 (Mamamoo)
2020-01-04,7,Square (2017),백예린 (Yerin Baek)
2020-01-04,8,"다시는 사랑하지 않고, 이별에 아파하기 싫어",백지영
2020-01-04,9,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
2020-01-04,10,Love poem,아이유
2020-01-04,11,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준
