Date,Rank,Title,Artist,Score
2018-10-31,12,Save (Feat. 팔로알토)(Prod. 코드 쿤스트),루피 (Loopy),9
2018-10-31,13,내 생에 아름다운,케이윌,9
2018-10-31,14,헤어지는 중,펀치 (Punch),9
2018-10-31,15,이별길 (GOODBYE ROAD),iKON,9
2018-10-31,16,열애중,벤,9
2018-10-31,17,사이렌 (Siren),선미,9
2018-10-31,18,IDOL,방탄소년단,9
2018-10-31,19,IndiGO,"저스디스 (JUSTHIS), 키드밀리 (Kid Milli), 양홍원, NO:EL",9
2018-10-31,20,사임사임 (Feat. CHANGMO),"수퍼비 (SUPERBEE), 쿠기 (Coogie), D.Ark (디아크)",9
2018-10-31,21,flex (Prod. By 기리보이),"스윙스, 기리보이, 키드밀리 (Kid Milli), NO:EL",8
2018-10-31,22,이별하러 가는 길,임한별,8
2018-10-31,23,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,8
2018-10-31,24,잘 지내줘,하이라이트 (Highlight),8
2018-10-31,25,미안해,양다일,8
2018-10-31,26,꿈처럼 내린,다비치,8
2018-10-31,27,지나오다,닐로(Nilo),8
2018-10-31,28,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원),8
2018-10-31,29,FAKE LOVE,방탄소년단,8
2018-10-31,30,Dance The Night Away,TWICE (트와이스),8
2018-10-31,31,비,폴킴,7
2018-10-31,32,밤편지,아이유,7
2018-10-31,33,I'm Fine,방탄소년단,7
2018-10-31,34,가을 안부,먼데이 키즈 (Monday Kiz),7
2018-10-31,35,여행,볼빨간사춘기,7
2018-10-31,36,벚꽃연가,첸 (CHEN),7
2018-10-31,37,Power Up,Red Velvet (레드벨벳),7
2018-10-31,38,Change (Feat. GRAY) (Prod. 코드 쿤스트),키드밀리 (Kid Milli),7
2018-10-31,39,억 (Feat. CHANGMO) (Prod. CHANGMO),수퍼비 (SUPERBEE),7
2018-10-31,40,그때 헤어지면 돼,로이킴,7
2018-10-31,41,동화,멜로망스,6
2018-10-31,42,너나 해 (Egotistic),마마무 (Mamamoo),6
2018-10-31,43,왈 (Feat. Pharoahe Monch),사이먼 도미닉,6
2018-10-31,44,Hate You (Feat. 우원재) (Prod. 코드 쿤스트),pH-1,6
2018-10-31,45,봄날,방탄소년단,6
2018-10-31,46,Friend,비투비,6
2018-10-31,47,사랑을 했다 (LOVE SCENARIO),iKON,6
2018-10-31,48,그날처럼,장덕철,6
2018-10-31,49,"셋 셀테니 (1, 2, 3!)",승리,6
2018-10-31,50,Euphoria,방탄소년단,6
2018-10-31,51,너 없인 안 된다,비투비,5
2018-10-31,52,Forever Young,BLACKPINK,5
2018-10-31,53,1도 없어,Apink (에이핑크),5
2018-10-31,54,선물,멜로망스,5
2018-10-31,55,SoulMate (Feat. 아이유),지코 (ZICO),5
2018-10-31,56,너라는 세상,먼데이 키즈 (Monday Kiz),5
2018-10-31,57,지쳤니,바닐라 어쿠스틱,5
2018-10-31,58,DNA,방탄소년단,5
